station_name,distribution,return_period_years,annual_exceedance_probability,return_level
萡子寮潮位站,Gumbel,10,0.1,2.547645157494546
萡子寮潮位站,Gumbel,20,0.05,2.6855069903511977
萡子寮潮位站,Gumbel,50,0.02,2.8639549919145724
萡子寮潮位站,Gumbel,100,0.01,2.997676657655142
萡子寮潮位站,GEV,10,0.1,2.545619878578654
萡子寮潮位站,GEV,20,0.05,2.5697163206526348
萡子寮潮位站,GEV,50,0.02,2.5830122528331136
萡子寮潮位站,GEV,100,0.01,2.5871675171769257
麥寮潮位站,Gumbel,10,0.1,2.893314860305628
麥寮潮位站,Gumbel,20,0.05,3.0141663693835454
麥寮潮位站,Gumbel,50,0.02,3.170596251635992
麥寮潮位站,Gumbel,100,0.01,3.2878184353709514
麥寮潮位站,GEV,10,0.1,2.9292782421987935
麥寮潮位站,GEV,20,0.05,3.1274562456077932
麥寮潮位站,GEV,50,0.02,3.4414781538379833
麥寮潮位站,GEV,100,0.01,3.728263097572553
