station_name,station_label,rank,year,highest_high_water_level,highest_astronomical_tide,hhw_minus_hat,mean_tide_level
萡子寮潮位站,Boziliao,1,2023,2.591,2.207,0.3840000000000003,0.465
萡子寮潮位站,Boziliao,2,2024,2.58,2.192,0.3879999999999999,0.414
萡子寮潮位站,Boziliao,3,2012,2.368,1.645,0.7229999999999999,0.249
萡子寮潮位站,Boziliao,4,2013,2.33,1.63,0.7000000000000002,0.231
萡子寮潮位站,Boziliao,5,2020,2.316,2.106,0.2099999999999999,0.393
麥寮潮位站,Mailiao,1,2018,3.927,2.257,1.67,0.336
麥寮潮位站,Mailiao,2,2023,2.83,2.59,0.2400000000000002,0.318
麥寮潮位站,Mailiao,3,2024,2.74,2.545,0.1950000000000002,0.388
麥寮潮位站,Mailiao,4,2020,2.728,2.507,0.221,0.502
麥寮潮位站,Mailiao,5,2012,2.659,2.108,0.5509999999999997,0.368
